state,totalPop
AK,712898
AL,3167669
AR,2004830
AZ,6161288
CA,36359352
CO,4534734
CT,2196132
DC,647484
DE,403932
FL,15032142
GA,4790859
HI,1354589
IA,2488020
ID,1143459
IL,11328531
IN,4532790
KS,2421673
KY,2577542
LA,3049199
MA,4723628
MD,4900011
ME,619594
MI,5524778
MN,4482289
MO,4245734
MS,1650074
MT,705601
NC,5883931
ND,571748
NE,1475367
NH,627658
NJ,5354828
NM,1736918
NV,2646336
NY,15995830
OH,8151970
OK,3010414
OR,3137450
PA,7094608
PR,2031386
RI,649824
SC,2235980
SD,645276
TN,4073428
TX,20852774
UT,2781752
VA,5651340
VT,242597
WA,5788355
WI,4210730
WV,808730
WY,453761
